company_name,location,state,founding_year,data_source,website,description,funding,industry,tags
Ts Nail & Lash Spa,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Ts Nail&Lash LLC,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Turner Auctions + Appraisals LLC,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
"Tusk Ai, Inc.",San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Unsloth Ai,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Unsloth Ai Inc.,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
"Usa Digital Communications, Inc",San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
"Vanguard Smoke & Fire Curtains, Inc.",San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Vista Mobile Urgent Care Inc,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Vroomdetail,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Wai Ahead LLC,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Wainaku Strategy Group,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Wastech Corporation,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
"Weedn Public Affairs, LLC",San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Whiskertails,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Wong Tai Sen Temple & Services Inc,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Yeji Cuts Hair,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Yellow Orchid Nail Spa,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Yishai Lerner Consulting,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Your Happy Place LLC,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Z & F Maintenance LLC,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Zorina Nail Studio,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
