ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,location_start_date,location_end_date,mailing_address_1,mail_city,mail_zipcode,mail_state,naic_code,naic_code_description,parking_tax,transient_occupancy_tax,lic,lic_code_description,supervisor_district,neighborhoods_analysis_boundaries,dba_end_date,business_corridor
0332449-01-001,0332449,Tan Yong An,New Hollywood Bakery & Rest,652 Pacific Ave,San Francisco,CA,94133,2000-01-08T00:00:00.000,2000-01-08T00:00:00.000,,652 Pacific Ave,San Francisco,94133,CA,7220-7229,Food Services,False,False,H24,"RESTAURANT - UNDER 1,000 SQFT",3,Chinatown,,Chinatown
1191594-06-181,1075401,To Calabria Inc,Barbera Pinseria & Cocktail Bar,431 Columbus Ave,San Francisco,CA,94133,2017-08-30T00:00:00.000,2018-06-11T00:00:00.000,2018-06-11T00:00:00.000,431 Columbus Ave,San Francisco,94133,CA,7220-7229,Food Services,False,False,,,3,Chinatown,,
1230024-08-191,1103515,Vessel Ca Operations LLC,Vessel Operations Ca #1,768 Sansome St,San Francisco,CA,94111,2019-06-26T00:00:00.000,2019-07-26T00:00:00.000,2020-03-19T00:00:00.000,,,,,7220-7229,Food Services,False,False,,,3,Chinatown,2022-07-19T00:00:00.000,
1077872-06-161,1037873,"Baked Bear II, LLC",The Baked Bear,303 Columbus Ave,San Francisco,CA,94133,2016-06-22T00:00:00.000,2016-06-22T00:00:00.000,,111 Silver Cloud Pl,Danville,94526,CA,7220-7229,Food Services,False,False,H24,"RESTAURANT - UNDER 1,000 SQFT",3,Chinatown,,North Beach
1025262-04-151,0459426,Goddard Trubnick LLC,The Barrel Room,415 Sansome St,San Francisco,CA,94111,2011-05-20T00:00:00.000,2015-04-03T00:00:00.000,,197 Skyline Dr,Keene,03431,NH,7220-7229,Food Services,False,False,H26 H86,Multiple,3,Chinatown,,
1307455-06-221,1136036,Emma Foods Inc,Columbus Burgers,57 Columbus Ave,San Francisco,CA,94111,2022-06-10T00:00:00.000,2022-06-10T00:00:00.000,,57 Columbus Ave,San Francisco,94111,CA,7220-7229,Food Services,False,False,H24,"RESTAURANT - UNDER 1,000 SQFT",3,Chinatown,,
0090901-03-001,0090901,New Sun Hong Kong Rest Inc,New Sun Hong Kong Restr Inc,606 Broadway,San Francisco,CA,94133,1974-01-01T00:00:00.000,1989-07-01T00:00:00.000,,606 Broadway,San Francisco,94133,CA,7220-7229,Food Services,False,False,D04 H26,Multiple,3,Chinatown,,"Chinatown, North Beach"
0144165-01-001,0144165,Chow David Chow Lily,Mee Mee Bakery,1328 Stockton St,San Francisco,CA,94133,1983-06-01T00:00:00.000,1983-06-01T00:00:00.000,,1328 Stockton St,San Francisco,94133,CA,7220-7229,Food Services,False,False,H88 WM30,Multiple,3,Chinatown,,
1133611-01-171,1055299,The Snackery Inc,Puppy Bobar,1142 Grant Ave,San Francisco,CA,94133,2016-09-01T00:00:00.000,2017-01-20T00:00:00.000,2018-10-31T00:00:00.000,,,,,7220-7229,Food Services,False,False,,,3,Chinatown,2018-10-31T00:00:00.000,Chinatown
0171578-01-001,0171578,Alley Associates I Inc,Bix,56 Gold St,San Francisco,CA,94133,1988-06-16T00:00:00.000,1988-06-16T00:00:00.000,,107 Caledonia St Ste E,Sausalito,94965,CA,7220-7229,Food Services,False,False,D04 D47 H26 P54,Multiple,3,Chinatown,,
0931293-01-001,0931293,"Huang Zhuo , Wu Guo Fu & Chen Lisa",Kam Po Kitchen,801 Broadway,San Francisco,CA,94133,1994-07-01T00:00:00.000,1994-07-01T00:00:00.000,,801 Broadway,San Francisco,94133,CA,7220-7229,Food Services,False,False,H24 WM18,Multiple,3,Chinatown,,
1220325-05-191,1101412,Groceries For Seniors,Groceries For Seniors,660 California St,San Francisco,CA,94108,2000-01-02T00:00:00.000,2000-01-02T00:00:00.000,,660 California St,San Francisco,94108,CA,7220-7229,Food Services,False,False,,,3,Chinatown,,Chinatown
1331351-04-231,1146083,Huiyuan Inc,Huiyuan Inc,624 Jackson St,San Francisco,CA,94133,2023-04-28T00:00:00.000,2023-04-28T00:00:00.000,,622 Jackson St,San Francisco,94133,CA,7220-7229,Food Services,False,False,,,3,Chinatown,,Chinatown
1319646-12-221,1138400,"Zhus Enterprises, Inc.",Sohunan,674 Sacramento St,San Francisco,CA,94111,2022-08-24T00:00:00.000,2022-08-31T00:00:00.000,,674 Sacramento St,San Francisco,94111,CA,7220-7229,Food Services,False,False,H26,"RESTAURANT - OVER 2,000 SQFT",3,Chinatown,,
1038799-09-151,1014315,Izabel LLC,Ok La La Cake Creations,579 Columbus Ave,San Francisco,CA,94133,2015-06-04T00:00:00.000,2015-06-04T00:00:00.000,2015-10-14T00:00:00.000,445 Burnett Ave Apt 102,San Francisco,94131,CA,7220-7229,Food Services,False,False,,,3,Chinatown,,North Beach
1057512-03-161,1028213,Yin Du Wonton Noodle LLC,Yin Du Wonton Noodle LLC,648 Pacific Ave,San Francisco,CA,94133,2016-03-01T00:00:00.000,2016-03-01T00:00:00.000,2016-03-01T00:00:00.000,,,,,7220-7229,Food Services,False,False,,,3,Chinatown,2016-03-01T00:00:00.000,Chinatown
0391528-01-001,0391528,Circolo La Taverna,Villa Taverna,27 Hotaling Pl,San Francisco,CA,94111,1960-02-01T00:00:00.000,1960-02-01T00:00:00.000,,27 Hotaling Pl,San Francisco,94111,CA,7220-7229,Food Services,False,False,H26 P48,Multiple,3,Chinatown,,
0180797-01-001,0180797,Lucky Creation Veg Rest LLC,Lucky Creation Vegetarian Rest,854 Washington St,San Francisco,CA,94108,1988-11-01T00:00:00.000,1988-11-01T00:00:00.000,,854 Washington St,San Francisco,94108,CA,7220-7229,Food Services,False,False,H24 WM18,Multiple,3,Chinatown,,Chinatown
0437557-01-001,0437557,Tsang Christopher H & Tsang Catherine S,Cafe Me,500 Washington St Ste 102,San Francisco,CA,94111,2009-04-01T00:00:00.000,2009-04-01T00:00:00.000,,500 Washington St 102 Ste,San Francisco,94111,CA,7220-7229,Food Services,False,False,H24,"RESTAURANT - UNDER 1,000 SQFT",3,Chinatown,,
1203683-10-181,0944434,H & K Investment Group,Kaji,1701 Powell St,San Francisco,CA,94133,1995-08-18T00:00:00.000,2018-10-23T00:00:00.000,,1701 Powell St,San Francisco,94133,CA,7220-7229,Food Services,False,False,,,3,Chinatown,,
1178346-02-181,0480342,Moveable Feast LLC,Nico,710 Montgomery St,San Francisco,CA,94111,2013-06-11T00:00:00.000,2018-01-01T00:00:00.000,2020-10-12T00:00:00.000,710 Montgomery St,San Francisco,94111,CA,7220-7229,Food Services,False,False,,,3,Chinatown,,
1308006-06-221,1029689,Barbary Coast Merchants LLC,Wingtip,550 Montgomery St Ste 1000,San Francisco,CA,94111,2016-03-25T00:00:00.000,2022-06-20T00:00:00.000,2024-02-01T00:00:00.000,550 Montgomery St 10th Floor,San Francisco,94111,CA,7220-7229,Food Services,False,False,H26,"RESTAURANT - OVER 2,000 SQFT",3,Chinatown,,
1346524-11-231,1152402,"Eatifydash, LLC",Taishan Dimsum,1343 Powell St,San Francisco,CA,94133,2023-11-08T00:00:00.000,2023-11-08T00:00:00.000,,622 Jackson St,San Francisco,94133,CA,7220-7229,Food Services,False,False,,,3,Chinatown,,
1219857-04-191,0391888,Pellegrini LLC,North Beach Farmers Market,699 Columbus Ave,San Francisco,CA,94133,2005-09-30T00:00:00.000,2019-04-25T00:00:00.000,2020-03-01T00:00:00.000,659 Columbus Ave,San Francisco,94133,CA,7220-7229,Food Services,False,False,,,3,Chinatown,,
1308880-07-221,1029689,Barbary Coast Merchants LLC,The Corbeaux Club,550 Montgomery St Fl 10,San Francisco,CA,94111,2016-03-25T00:00:00.000,2022-06-21T00:00:00.000,2024-05-01T00:00:00.000,550 Montgomery St 10th Floor,San Francisco,94111,CA,7220-7229,Food Services,False,False,,,3,Chinatown,,
1237582-10-191,0911820,R & G Executive Lounge Inc,R & G Lounge,631 Kearny St B,San Francisco,CA,94108,1990-07-01T00:00:00.000,1990-07-01T00:00:00.000,,631 Kearny St # B,San Francisco,94108,CA,7220-7229,Food Services,False,False,D04 D19 H26,Multiple,3,Chinatown,,Chinatown
1072788-05-161,1034737,Da Flora LLC,Da Flora,701 Columbus Ave,San Francisco,CA,94133,2016-05-18T00:00:00.000,2016-05-18T00:00:00.000,,701 Columbus Ave Bldg,San Francisco,94133,CA,7220-7229,Food Services,False,False,H25,"RESTAURANT 1,000 - 2,000 SQFT",3,Chinatown,,North Beach
1202198-10-181,1093505,Hon's Wun Tun House LLC,Hon's Wun Tun House,648 Kearny St,San Francisco,CA,94108,2018-10-01T00:00:00.000,2018-10-01T00:00:00.000,,733 Washington St,San Francisco,94108,CA,7220-7229,Food Services,False,False,H25,"RESTAURANT 1,000 - 2,000 SQFT",3,Chinatown,,Chinatown
1141229-03-171,1016057,Sababa LLC,Sababa,554 Commercial St,San Francisco,CA,94111,2015-07-16T00:00:00.000,2017-03-29T00:00:00.000,2020-03-16T00:00:00.000,329 Kearny St,San Francisco,94108,CA,7220-7229,Food Services,False,False,,,3,Chinatown,,
1137154-02-171,1065932,Red's Southern Smoke,Red's Southern Smoke,742 Filbert St,San Francisco,CA,94133,2017-02-01T00:00:00.000,2017-02-01T00:00:00.000,2019-04-30T00:00:00.000,,,,,7220-7229,Food Services,False,False,,,3,Chinatown,2019-04-30T00:00:00.000,
1361915-05-241,1124304,Got Served LLC,Outta Sight,643 Clay St,San Francisco,CA,94111,2021-05-10T00:00:00.000,2024-05-22T00:00:00.000,,3017 22nd St Apt 3,San Francisco,94110,CA,7220-7229,Food Services,False,False,,,3,Chinatown,,
0196325-06-001,0196325,Peet's Coffee & Tea Inc,Peet's Coffee Inc,450 Sansome St Ste 1,San Francisco,CA,94111,1989-01-01T00:00:00.000,2008-09-15T00:00:00.000,2022-12-06T00:00:00.000,Po Box 8000,Monsey,10952,NY,7220-7229,Food Services,False,False,H25 POS01 WM18,Multiple,3,Chinatown,,
1308883-07-221,1029689,Barbary Coast Merchants LLC,Corbeaux Lounge,550 Montgomery St Fl 10,San Francisco,CA,94111,2016-03-25T00:00:00.000,2022-06-21T00:00:00.000,2024-05-01T00:00:00.000,550 Montgomery St 10th Floor,San Francisco,94111,CA,7220-7229,Food Services,False,False,,,3,Chinatown,,
1152756-06-171,1072633,Lenyce Inc,The Danish & Donut Corner,145 Columbus Ave,San Francisco,CA,94133,2017-06-30T00:00:00.000,2017-06-30T00:00:00.000,,145 Columbus Ave,San Francisco,94133,CA,7220-7229,Food Services,False,False,H25,"RESTAURANT 1,000 - 2,000 SQFT",3,Chinatown,,
1227406-07-191,1104040,Daniel Liu,Island Shrimp Shack,1142 Grant Ave,San Francisco,CA,94133,2019-07-09T00:00:00.000,2019-07-09T00:00:00.000,2019-08-30T00:00:00.000,,,,,7220-7229,Food Services,False,False,,,3,Chinatown,2019-08-30T00:00:00.000,Chinatown
1256303-07-201,0368611,Cheung Kwai Kee Enterprises,Go Duck Yourself,1261 Stockton St,San Francisco,CA,94133,2003-08-01T00:00:00.000,2020-07-22T00:00:00.000,2024-04-07T00:00:00.000,439 Cortland Ave,San Francisco,94110,CA,7220-7229,Food Services,False,False,,,3,Chinatown,,Chinatown
1022289-03-151,1010779,Restaurant Science Associates 3,Gallery Cafe,1200 Mason St,San Francisco,CA,94108,2015-03-10T00:00:00.000,2015-03-10T00:00:00.000,,1200 Mason St,San Francisco,94108,CA,7220-7229,Food Services,False,False,H25,"RESTAURANT 1,000 - 2,000 SQFT",3,Chinatown,,
1235259-10-191,1107225,Luisa Ristorante Inc,Luisa's Restaurant Wine-Champagne Bar Since 1959,759 Columbus Ave,San Francisco,CA,94133,2019-07-01T00:00:00.000,2019-07-01T00:00:00.000,,759 Columbus Ave,San Francisco,94133,CA,7220-7229,Food Services,False,False,,,3,Chinatown,,North Beach
1184671-04-181,1086175,Yinwei Wang,T & T Cafe,601 Broadway St,San Francisco,CA,94133,2018-04-10T00:00:00.000,2018-04-10T00:00:00.000,2020-01-13T00:00:00.000,,,,,7220-7229,Food Services,False,False,,,3,Chinatown,2020-01-13T00:00:00.000,
1159374-08-171,0381957,Paninoteca Inc.,Palio Cafe,505 Montgomery St 1,San Francisco,CA,94111,2004-11-01T00:00:00.000,2017-08-21T00:00:00.000,2018-06-29T00:00:00.000,,,,,7220-7229,Food Services,False,False,,,3,Chinatown,2021-10-01T00:00:00.000,
0347269-03-001,0347269,Kawaguchi Akihiko,Miki Ramen,1624 Powell St,San Francisco,CA,94133,2001-07-11T00:00:00.000,2012-04-01T00:00:00.000,,3639 Balboa St,San Francisco,94121,CA,7220-7229,Food Services,False,False,,,3,Chinatown,,
0330733-02-001,0330733,Jessie Brando,24-7 Without Cease,775 Filbert St,San Francisco,CA,94133,1999-10-15T00:00:00.000,2005-12-08T00:00:00.000,,1854 Mason St,San Francisco,94133,CA,7220-7229,Food Services,False,False,,,3,Chinatown,,
1164114-10-171,1077514,Michael K Le,Bunn Mike,640 Clay St Apt 205,San Francisco,CA,94111,2017-10-17T00:00:00.000,2017-10-17T00:00:00.000,2017-10-17T00:00:00.000,,,,,7220-7229,Food Services,False,False,,,3,Chinatown,2019-04-15T00:00:00.000,
1183851-04-181,1085822,IVy Xiao Ni Zhang,Delicious Dimsum,752 Jackson St,San Francisco,CA,94133,2018-04-02T00:00:00.000,2018-04-02T00:00:00.000,,752 Jackson St,San Francisco,94133,CA,7220-7229,Food Services,False,False,H24,"RESTAURANT - UNDER 1,000 SQFT",3,Chinatown,,Chinatown
0937250-02-001,0937250,Eddy Navia & Quentin Navia,Pachamama,1630 Powell St,San Francisco,CA,94133,1995-01-10T00:00:00.000,1999-06-18T00:00:00.000,,3450 Sacramento St # 523,San Francisco,94118,CA,7220-7229,Food Services,False,False,H25 P23,Multiple,3,Chinatown,,
1191908-06-181,1089092,Betterer Foods Inc.,Betterer Foods,550 Montgomery St Ste 900,San Francisco,CA,94111,2017-09-22T00:00:00.000,2018-01-01T00:00:00.000,2022-01-14T00:00:00.000,,,,,7220-7229,Food Services,False,False,,,3,Chinatown,2022-01-14T00:00:00.000,
1208393-12-181,1096272,Yu's Cafe,Yu's Cafe,57 Walter U Lum Pl,San Francisco,CA,94108,2018-12-28T00:00:00.000,2018-12-28T00:00:00.000,2018-12-28T00:00:00.000,,,,,7220-7229,Food Services,False,False,,,3,Chinatown,2018-12-28T00:00:00.000,Chinatown
0490245-01-001,0490245,Mona Lisa Inc,Mona Lisa Restaurant,353 Columbus Ave,San Francisco,CA,94133,2014-07-01T00:00:00.000,2014-07-01T00:00:00.000,,990 Ringwood Ave,Menlo Park,94025,CA,7220-7229,Food Services,False,False,H26,"RESTAURANT - OVER 2,000 SQFT",3,Chinatown,,North Beach
0382512-01-001,0382512,"Zechsan Business Dev., Inc.",Sip.,787 Broadway,San Francisco,CA,94133,2004-11-09T00:00:00.000,2004-11-09T00:00:00.000,2018-02-26T00:00:00.000,855 Folsom St 540 Ste,San Francisco,94107,CA,7220-7229,Food Services,False,False,,,3,Chinatown,,Chinatown
1361413-05-241,1158546,"Coffee And Tea Bar Hospitality, LLC",Pyramid Cafe,600 Montgomery St Lbby Lob,San Francisco,CA,94111,2024-05-17T00:00:00.000,2024-05-17T00:00:00.000,,325 W Huron St Ste 401,Chicago,60654,IL,7220-7229,Food Services,False,False,,,3,Chinatown,,
0455182-01-001,0455182,W.A. Sheh Inc,San Sun Restaurant,848 Washington St,San Francisco,CA,94108,2010-11-16T00:00:00.000,2010-11-16T00:00:00.000,,848 Washington St,San Francisco,94108,CA,7220-7229,Food Services,False,False,D04 H26,Multiple,3,Chinatown,,Chinatown
1184595-04-181,0397955,Club Funston LLC,The Boardroom,1600 Powell St,San Francisco,CA,94133,2006-06-01T00:00:00.000,2018-04-06T00:00:00.000,,1600 Powell St,San Francisco,94133,CA,7220-7229,Food Services,False,False,H26,"RESTAURANT - OVER 2,000 SQFT",3,Chinatown,,
1296322-01-221,0415325,Jade Chocolates LLC,Jade Chocolates,607 Grant Ave,San Francisco,CA,94108,2007-03-22T00:00:00.000,2022-01-28T00:00:00.000,2022-02-01T00:00:00.000,607 Grant Ave,San Francisco,94108,CA,7220-7229,Food Services,False,False,,,3,Chinatown,,Chinatown
1316917-10-221,1139940,Taiher Inc,Taiher Inc,947 Grant Ave,San Francisco,CA,94108,2022-10-21T00:00:00.000,2022-10-21T00:00:00.000,2023-03-31T00:00:00.000,,,,,7220-7229,Food Services,False,False,,,3,Chinatown,2023-03-31T00:00:00.000,Chinatown
1177721-02-181,1076739,Wineone LLC,Hotel San Francisco,653 Commercial St,San Francisco,CA,94111,2017-09-28T00:00:00.000,2018-02-01T00:00:00.000,2023-07-31T00:00:00.000,,,,,7220-7229,Food Services,False,False,D04 H26 P23,Multiple,3,Chinatown,2023-07-31T00:00:00.000,
0300887-01-001,0300887,Kells San Francisco Inc,Kells (Of San Francisco Inc),530 Jackson St,San Francisco,CA,94111,1997-01-01T00:00:00.000,1997-01-01T00:00:00.000,2024-11-16T00:00:00.000,,,,,7220-7229,Food Services,False,False,D04 D47 H26 P54,Multiple,3,Chinatown,2024-11-16T00:00:00.000,
1233267-09-191,1106396,"Vine Solutions, Inc.",Wayfare Tavern,558 Sacramento St,San Francisco,CA,94111,2019-01-01T00:00:00.000,2019-01-01T00:00:00.000,2021-08-01T00:00:00.000,,,,,7220-7229,Food Services,False,False,,,3,Chinatown,2021-08-01T00:00:00.000,
0165639-01-001,0165639,New Lun Ting Cafe Inc,New Lun Ting Cafe Inc,670 Jackson St,San Francisco,CA,94133,1987-08-01T00:00:00.000,1987-08-01T00:00:00.000,,567 Pine St Ste 201,San Francisco,94108,CA,7220-7229,Food Services,False,False,H25,"RESTAURANT 1,000 - 2,000 SQFT",3,Chinatown,,Chinatown
1019220-02-151,1009292,Dar Nadia Inc,Fish And Farm,424 Clay St,San Francisco,CA,94111,2015-02-18T00:00:00.000,2015-02-18T00:00:00.000,,0000 Undeliverable Mail,San Francisco,99999,CA,7220-7229,Food Services,False,False,D04 H26 P23,Multiple,3,Chinatown,,
1204986-11-181,1094737,The Barrio LLC,Barrio,1609 Powell St Bldg,San Francisco,CA,94133,2018-11-01T00:00:00.000,2018-11-01T00:00:00.000,2022-07-15T00:00:00.000,,,,,7220-7229,Food Services,False,False,,,3,Chinatown,2022-07-15T00:00:00.000,
1354592-03-241,1155889,Tommy Abib,Cavalli Cafe,1441 Stockton St,San Francisco,CA,94133,2024-03-01T00:00:00.000,2024-03-01T00:00:00.000,,1441 Stockton St,San Francisco,94133,CA,7220-7229,Food Services,False,False,,,3,Chinatown,,
1313228-08-221,1138400,"Zhus Enterprises, Inc.",Hunan,674 Sacramento St,San Francisco,CA,94111,2022-08-24T00:00:00.000,2022-08-31T00:00:00.000,2022-08-31T00:00:00.000,674 Sacramento St,San Francisco,94111,CA,7220-7229,Food Services,False,False,,,3,Chinatown,,
0330733-03-001,0330733,Jessie Brando,Gc Consciousness,775 Filbert St,San Francisco,CA,94133,1999-10-15T00:00:00.000,2005-12-12T00:00:00.000,,1854 Mason St,San Francisco,94133,CA,7220-7229,Food Services,False,False,,,3,Chinatown,,
1205224-11-181,1094829,Kato And Macaspac LLC,The Spot,630 Sansome St Ste 131,San Francisco,CA,94111,2018-11-08T00:00:00.000,2018-11-09T00:00:00.000,2021-09-01T00:00:00.000,,,,,7220-7229,Food Services,False,False,,,3,Chinatown,2021-09-01T00:00:00.000,
1233083-09-191,1106314,Cathay House Ventures LLC,Cathay House Restaurant,718 California St,San Francisco,CA,94108,2019-09-05T00:00:00.000,2019-09-05T00:00:00.000,,0000 Undeliverable Mail,San Francisco,99999,CA,7220-7229,Food Services,False,False,,,3,Chinatown,,Chinatown
0111067-09-001,0111067,The Absinthe Group Inc,Comstock Saloon,155 Columbus Ave,San Francisco,CA,94133,1978-04-15T00:00:00.000,2009-08-13T00:00:00.000,,368 Hayes St,San Francisco,94102,CA,7220-7229,Food Services,False,False,D04 H26 P54,Multiple,3,Chinatown,,Chinatown
0397930-01-001,0397930,E Land Enterprises LLC,E Land Enterprises LLC,1201 Powell St,San Francisco,CA,94133,2006-04-15T00:00:00.000,2006-04-15T00:00:00.000,2020-03-30T00:00:00.000,1938 44th Ave,San Francisco,94116,CA,7220-7229,Food Services,False,False,,,3,Chinatown,,
0202246-01-001,0202246,Giusti Corp,Firenze By Night,1421 Stockton St,San Francisco,CA,94133,1990-11-05T00:00:00.000,1990-11-05T00:00:00.000,,1429 Stockton St,San Francisco,94133,CA,7220-7229,Food Services,False,False,H24,"RESTAURANT - UNDER 1,000 SQFT",3,Chinatown,,
1162440-09-171,1076744,Sofisa LLC,Trattoria Spuntino,543 Columbus Ave,San Francisco,CA,94133,2017-09-22T00:00:00.000,2017-09-22T00:00:00.000,2021-06-30T00:00:00.000,,,,,7220-7229,Food Services,False,False,,,3,Chinatown,2021-06-30T00:00:00.000,North Beach
0467962-03-001,0467962,Tipsuwon Inc,Noodle Bar And Grill,631 Broadway,San Francisco,CA,94133,2012-04-01T00:00:00.000,2012-04-01T00:00:00.000,,631 Broadway,San Francisco,94133,CA,7220-7229,Food Services,False,False,H25,"RESTAURANT 1,000 - 2,000 SQFT",3,Chinatown,,Chinatown
1251814-05-201,1114140,Cheung Kwai Kee Enterprises,Hing Lung Company,1261 Stockton St,San Francisco,CA,94133,2003-06-02T00:00:00.000,2003-06-02T00:00:00.000,2003-06-02T00:00:00.000,,,,,7220-7229,Food Services,False,False,,,3,Chinatown,2003-06-02T00:00:00.000,Chinatown
1236537-10-191,1080462,Tmc Ventures LLC,Matcha Cafe Maiko,756 Grant Ave,San Francisco,CA,94108,2017-12-08T00:00:00.000,2019-10-18T00:00:00.000,,58 E Poplar Ave 1 Apt,San Mateo,94401,CA,7220-7229,Food Services,False,False,H24,"RESTAURANT - UNDER 1,000 SQFT",3,Chinatown,,Chinatown
1161782-09-171,1076437,Invoino,Altovino,Mason St,San Francisco,CA,94133,2017-09-21T00:00:00.000,2017-09-21T00:00:00.000,2017-09-21T00:00:00.000,,,,,7220-7229,Food Services,False,False,,,3,Chinatown,2017-09-21T00:00:00.000,
0468548-01-001,0468548,Washington Cafe Inc,Washington Cafe,826 Washington St,San Francisco,CA,94108,2012-05-15T00:00:00.000,2012-05-15T00:00:00.000,2016-07-24T00:00:00.000,826 Washington St,San Francisco,94108,CA,7220-7229,Food Services,False,False,,,3,Chinatown,,Chinatown
1053104-02-161,1025205,Mei Hui Inc,Pho Delicious,1365 Stockton St,San Francisco,CA,94133,2016-02-09T00:00:00.000,2016-02-09T00:00:00.000,2023-08-24T00:00:00.000,,,,,7220-7229,Food Services,False,False,H25,"RESTAURANT 1,000 - 2,000 SQFT",3,Chinatown,2023-08-24T00:00:00.000,
1268045-01-211,1120751,Looly's Pbc,Wethetrillions,655 Montgomery St,San Francisco,CA,94111,2021-01-17T00:00:00.000,2021-01-17T00:00:00.000,2024-06-30T00:00:00.000,,,,,7220-7229,Food Services,False,False,,,3,Chinatown,2024-06-30T00:00:00.000,
0304249-04-001,0304249,Dragon City Inc,Aa Bakery & Cafe The,1068 Stockton St,San Francisco,CA,94108,1997-01-01T00:00:00.000,2000-03-07T00:00:00.000,,2367 Mission St,San Francisco,94110,CA,7220-7229,Food Services,False,False,H25,"RESTAURANT 1,000 - 2,000 SQFT",3,Chinatown,,Chinatown
1245267-02-201,1086039,Datavant Inc.,Datavant Inc.,755 Sansome St 2nd Fl.,San Francisco,CA,94111,2017-11-03T00:00:00.000,2019-09-16T00:00:00.000,2021-03-24T00:00:00.000,,,,,5100-5199,Information,False,False,,,3,Chinatown,2023-12-01T00:00:00.000,
1220388-05-191,1099530,"The Sugar Cane Paper Company, Inc.",Chonglou Ass'n,764 Commercial St,San Francisco,CA,94108,2019-03-01T00:00:00.000,2019-05-01T00:00:00.000,2022-06-29T00:00:00.000,,,,,5100-5199,Information,False,False,,,3,Chinatown,2022-06-29T00:00:00.000,Chinatown
1247699-02-201,1112453,Moloco Inc,Moloco Inc,600 California St,San Francisco,CA,94108,2019-01-01T00:00:00.000,2019-01-01T00:00:00.000,2021-09-28T00:00:00.000,601 Marshall St Fl 5,Redwood City,94063,CA,5100-5199,Information,False,False,,,3,Chinatown,,
1264524-11-201,1119267,"Primary Diagnostics, Inc.","Primary Diagnostics, Inc.",595 Pacific Ave Fl 4,San Francisco,CA,94133,2020-05-18T00:00:00.000,2020-05-18T00:00:00.000,,595 Pacific Ave 4 Fl,San Francisco,94133,CA,5100-5199,Information,False,False,,,3,Chinatown,,
1188258-05-181,1087664,Atlantic Media Inc,Quartz Media LLC,632 Commercial St Fl 5,San Francisco,CA,94111,2017-01-01T00:00:00.000,2017-01-01T00:00:00.000,2018-07-31T00:00:00.000,,,,,5100-5199,Information,False,False,,,3,Chinatown,2022-06-29T00:00:00.000,
1189749-05-181,1082164,"Modumate, Inc.",Modumate,600 California St Fl 11th,San Francisco,CA,94108,2018-01-16T00:00:00.000,2018-05-26T00:00:00.000,2019-08-01T00:00:00.000,0000 Undeliverable Mail,San Francisco,99999,CA,5100-5199,Information,False,False,,,3,Chinatown,,
1289749-10-211,1128987,Anthropic Pbc,Anthropic Pbc,731 Sansome St Fl 5,San Francisco,CA,94111,2021-09-27T00:00:00.000,2021-09-27T00:00:00.000,,548 Market St Pmb 9037,San Francisco,94104,CA,5100-5199,Information,False,False,,,3,Chinatown,,
1307424-06-221,0414826,Guide By Cell Inc,Engage By Cell,405 Sansome St Fl 4,San Francisco,CA,94111,2007-03-03T00:00:00.000,2022-06-01T00:00:00.000,,5610 A Granny White Pike,Brentwood,37027,TN,5100-5199,Information,False,False,,,3,Chinatown,,
1185839-04-181,1086696,"Ooda Health, Inc.","Ooda Health, Inc",650 California St Ste 700,San Francisco,CA,94108,2017-10-01T00:00:00.000,2017-10-01T00:00:00.000,2021-06-03T00:00:00.000,,,,,5100-5199,Information,False,False,,,3,Chinatown,2021-06-03T00:00:00.000,Chinatown
1141075-03-171,1067464,"Carrentals.Com, Inc.",Carrentals.Com,655 Mongomery St Ste 600,San Francisco,CA,94111,2016-01-01T00:00:00.000,2016-01-01T00:00:00.000,,1111 Expedia Group Way W,Seattle,98119,WA,5100-5199,Information,False,False,,,3,Chinatown,,
1238733-11-191,1108672,"Karmacheck, Inc.","Karmacheck, Inc",595 Pacific Ave,San Francisco,CA,94133,2019-11-01T00:00:00.000,2019-11-01T00:00:00.000,,595 Pacific Ave Fl 4,San Francisco,94133,CA,5100-5199,Information,False,False,,,3,Chinatown,,
1252771-05-201,1114549,Sfist LLC,Sfist,500 Sansome St Ste 600,San Francisco,CA,94111,2019-09-01T00:00:00.000,2019-09-01T00:00:00.000,2024-06-30T00:00:00.000,,,,,5100-5199,Information,False,False,,,3,Chinatown,2024-06-30T00:00:00.000,
1144168-04-171,1069247,Early Warning Services LLC,"Clearxchange, LLC",447 Battery St Ste 200,San Francisco,CA,94111,2015-12-31T00:00:00.000,2015-12-31T00:00:00.000,2017-07-31T00:00:00.000,5801 N Pima Rd,Scottsdale,85250,AZ,5100-5199,Information,False,False,,,3,Chinatown,,
1030593-06-151,1008739,Sweetch Inc,Vatler,1358 Mason St,San Francisco,CA,94133,2014-05-20T00:00:00.000,2015-01-06T00:00:00.000,2015-09-01T00:00:00.000,2261 Market St # 4031,San Francisco,94114,CA,5100-5199,Information,False,False,,,3,Chinatown,,
1220849-05-191,1101611,Artificial Systems Fund,Artificial Systems Fund,600 California 13015,San Francisco,CA,94108,2019-05-01T00:00:00.000,2019-05-06T00:00:00.000,2022-06-29T00:00:00.000,,,,,5100-5199,Information,False,False,,,3,Chinatown,2022-06-29T00:00:00.000,Chinatown
