permit_number,permit_type,permit_type_definition,permit_creation_date,block,lot,street_number,street_name,street_suffix,description,status,status_date,number_of_existing_stories,number_of_proposed_stories,estimated_cost,existing_use,existing_units,proposed_use,proposed_units,plansets,existing_occupancy,proposed_occupancy,existing_construction_type,existing_construction_type_description,proposed_construction_type,proposed_construction_type_description,last_permit_activity_date,application_submission_method,adu,primary_address_flag,supervisor_district,neighborhoods_analysis_boundaries,zipcode,location,point_source,record_id,data_as_of,data_loaded_at,filed_date,issued_date,completed_date,revised_cost,unit,fire_only_permit,unit_suffix,structural_notification,site_permit,street_number_suffix,first_construction_document_date
202403288850,8,otc alterations permit,2024-03-28T00:00:00.000,6917,018,315,Urbano,Dr,re-roofing,complete,2024-04-25T10:36:13.000,2,2,20000.0,1 family dwelling,1.0,1 family dwelling,1.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-28T15:53:40.000,in-house,N,Y,7,West of Twin Peaks,94127,"{'type': 'Point', 'coordinates': [-122.469173264, 37.725424896]}",eas_address_point,1691588214071,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-28T14:01:40.000,2024-03-28T15:53:45.000,2024-04-25T10:36:13.000,20000.0,,,,,,,
202403288865,8,otc alterations permit,2024-03-28T00:00:00.000,6022,033,380,Moscow,St,"install new hardie planks siding on top of (e) redwood siding (back of the house only) paint front and baock of house, install scafforld in fornt of the house approx 500 sf",complete,2024-06-12T10:20:19.000,2,2,12000.0,1 family dwelling,1.0,1 family dwelling,1.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-29T10:30:17.000,in-house,N,Y,11,Excelsior,94112,"{'type': 'Point', 'coordinates': [-122.427622781, 37.721718477]}",eas_address_point,1691608194432,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-28T15:09:00.000,2024-03-29T10:32:55.000,2024-06-12T10:20:19.000,12000.0,,,,,,,
202403288834,8,otc alterations permit,2024-03-28T00:00:00.000,0612,022,2360,Fillmore,St,stabilize top portion of sign that was damaged due to fallen tree limb. repair sign. to comply w/ nov 2024.18893,complete,2024-04-16T11:29:25.000,2,2,1000.0,retail sales,5.0,retail sales,5.0,0,"M,R-2","M,R-2",5,wood frame (5),5,wood frame (5),2024-03-28T14:57:54.000,in-house,N,Y,2,Pacific Heights,94115,"{'type': 'Point', 'coordinates': [-122.434130335, 37.791460743]}",eas_address_point,1691573389173,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-28T12:39:58.000,2024-03-28T15:21:33.000,2024-04-16T11:29:25.000,1000.0,,,,,,,
202403288775,8,otc alterations permit,2024-03-28T00:00:00.000,0536,030,2425,Filbert,St,as-built plans to the fire sprinkler system on minor changes in the basement and the 2nd floor per nfpa 13r. ref to # 202210244976,complete,2024-04-09T15:56:42.000,3,3,1.0,1 family dwelling,1.0,1 family dwelling,1.0,2,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-28T08:06:26.000,in-house,N,Y,2,Marina,94123,"{'type': 'Point', 'coordinates': [-122.439369641, 37.797368911]}",eas_address_point,169151173473,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-28T07:40:06.000,2024-03-28T08:11:12.000,2024-04-09T15:56:42.000,1.0,,Y,,,,,
202403288854,8,otc alterations permit,2024-03-28T00:00:00.000,0950,039,2701,Broderick,St,"bathroom remodel, replace fixtures and finishes. replace shower, replace toilet, replace tiles. no moving walls.",complete,2024-06-11T07:17:37.000,4,4,10000.0,apartments,3.0,apartments,3.0,0,R-2,R-2,5,wood frame (5),5,wood frame (5),2024-03-28T14:54:58.000,in-house,N,Y,2,Marina,94123,"{'type': 'Point', 'coordinates': [-122.443838636, 37.795289652]}",eas_address_point,1691595238364,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-28T14:28:13.000,2024-03-28T14:58:40.000,2024-06-11T07:17:37.000,20552.0,,,,,,,
202403288853,8,otc alterations permit,2024-03-28T00:00:00.000,2392,037,2339,Taraval,St,administrative permit to recird 3-unit front building with address of 2339 (1st floor) 2341 (2nd floor) and 2343 (3rd floor). ref pa# 2015-0828-5547 s2 and pa# 2020-0925-4961. permit to convert commercial to adu.,complete,2024-06-18T08:02:12.000,3,3,1.0,2 family dwelling,2.0,apartments,3.0,0,"R-3,M",R-2,5,wood frame (5),5,wood frame (5),2024-03-28T15:34:09.000,in-house,N,Y,4,Sunset/Parkside,94116,"{'type': 'Point', 'coordinates': [-122.491391654, 37.742116248]}",eas_address_point,1691591516534,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-28T14:21:26.000,2024-03-28T15:39:02.000,2024-06-18T08:02:12.000,1.0,,,,,,,
202403288868,6,demolitions,2024-03-28T00:00:00.000,3046,002,191,San Felipe,Av,demo a dettached 2 car garage.,cancelled,2024-07-19T15:13:33.000,1,,10000.0,prkng garage/private,,,,2,U,,,,,,2024-05-13T15:45:28.000,in-house,N,Y,7,West of Twin Peaks,94127,"{'type': 'Point', 'coordinates': [-122.463435821, 37.732271017]}",eas_address_point,1691610150835,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,,,,,,,,,,,
202403288788,8,otc alterations permit,2024-03-28T00:00:00.000,2617,006,55,Ashbury,Tr,"relacement of perimeter foundation and concrete slab on grade in garage, new ceiling & lighting in garage rebuilding concrete exterior stair in-kind replacement ofgarage door in-kind. work do not affect public right of way",issued,2024-07-05T10:43:49.000,2,2,30000.0,1 family dwelling,1.0,1 family dwelling,1.0,2,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-07-05T10:41:31.000,in-house,N,Y,8,Haight Ashbury,94117,"{'type': 'Point', 'coordinates': [-122.445191295, 37.764583164]}",eas_address_point,1691526139503,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-28T09:11:32.000,2024-07-05T10:43:49.000,,68000.0,,,,,,,
202403288778,8,otc alterations permit,2024-03-28T00:00:00.000,0199,022,155,Jackson,St,unit #2402: rehabilitate (e) kitchen and bathroom no removal of structural walls,issued,2024-03-28T10:54:39.000,23,23,50000.0,apartments,178.0,apartments,178.0,2,"R-2,M","R-2,M",1,constr type 1,1,constr type 1,2024-03-28T10:54:34.000,in-house,N,Y,3,Financial District/South Beach,94111,"{'type': 'Point', 'coordinates': [-122.398825815, 37.796562523]}",eas_address_point,16915141091,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-28T08:23:37.000,2024-03-28T10:54:39.000,,76730.0,,,,,,,
202403288837,8,otc alterations permit,2024-03-28T00:00:00.000,5610,021,17,Coleridge,St,"revision to permit#: 2024.0222.6378 remove andreplace approx. 380 sqft in siding., in kind",issued,2024-03-28T15:21:48.000,3,3,20000.0,2 family dwelling,2.0,2 family dwelling,2.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-28T14:44:43.000,in-house,N,Y,9,Bernal Heights,94110,"{'type': 'Point', 'coordinates': [-122.418229048, 37.745591891]}",eas_address_point,1691576184613,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-28T12:56:45.000,2024-03-28T15:21:48.000,,20000.0,,,,,,,
202403288817,8,otc alterations permit,2024-03-28T00:00:00.000,1547,025,324,Balboa,St,repair dryrot and termite damage at ground floor. outside walls,complete,2024-08-26T15:20:27.000,3,3,5000.0,apartments,3.0,apartments,3.0,0,R-2,R-2,5,wood frame (5),5,wood frame (5),2024-03-28T12:09:09.000,in-house,N,Y,1,Inner Richmond,94118,"{'type': 'Point', 'coordinates': [-122.462377896, 37.777555717]}",eas_address_point,1691557103799,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-28T10:59:44.000,2024-03-28T12:11:10.000,2024-08-26T15:20:27.000,5000.0,,,,,,,
202403288819,8,otc alterations permit,2024-03-28T00:00:00.000,0291,012,44,Montgomery,St,supply and install pre-action detection and control system.,complete,2024-07-01T08:54:17.000,41,41,15310.0,office,,office,,2,B,B,1,constr type 1,1,constr type 1,2024-03-28T12:57:03.000,in-house,N,Y,3,Financial District/South Beach,94104,"{'type': 'Point', 'coordinates': [-122.401766913, 37.789807668]}",eas_address_point,169155867101,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-28T11:04:46.000,2024-03-28T12:59:53.000,2024-07-01T08:54:17.000,15310.0,,Y,,,,,
202403288853,8,otc alterations permit,2024-03-28T00:00:00.000,2392,037,2343,Taraval,St,administrative permit to recird 3-unit front building with address of 2339 (1st floor) 2341 (2nd floor) and 2343 (3rd floor). ref pa# 2015-0828-5547 s2 and pa# 2020-0925-4961. permit to convert commercial to adu.,complete,2024-06-18T08:02:12.000,3,3,1.0,2 family dwelling,2.0,apartments,3.0,0,"R-3,M",R-2,5,wood frame (5),5,wood frame (5),2024-03-28T15:34:09.000,in-house,N,,4,Sunset/Parkside,94116,"{'type': 'Point', 'coordinates': [-122.49139421, 37.742118308]}",eas_address_point,1691593516532,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-28T14:21:26.000,2024-03-28T15:39:02.000,2024-06-18T08:02:12.000,1.0,,,,,,,
202403288874,8,otc alterations permit,2024-03-28T00:00:00.000,7295,038,3251,20th,Av,"space 156. consturction of potato corner store in existing mall consisting of complete tenant interior construction including all req'd partitons, ceiling floor, plumbing, elec and mech systems within lanlord's lease space.",filed,2024-03-28T15:46:57.000,2,2,170466.0,retail sales,,food/beverage hndlng,,2,"B,M,S-2","B,A-2,S-2",2,constr type 2,2,constr type 2,2024-04-03T07:48:27.000,in-house,N,Y,7,Lakeshore,94132,"{'type': 'Point', 'coordinates': [-122.476825757, 37.728470603]}",eas_address_point,1691617507987,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-28T15:46:57.000,,,0.0,,,,,,,
202403288844,3,additions alterations or repairs,2024-03-28T00:00:00.000,6404,001,900,Vienna,St,"install 158 sq ft @ 2nd fl,install 176 sq ft,demo(e)fl slab,excavate & lower(n)slab;convert rear beds to(n)master;rehabilitate(e)kitchen&(e)bathroom @ 2nd floor;rehabilitate(e)bath @1st floor;install wet bar@1st fl;convert in-law into 165 sq ft adu,rehabilitate(e)bath @ adu.",triage,2024-03-28T13:43:13.000,2,2,200000.0,1 family dwelling,1.0,2 family dwelling,2.0,2,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-04-03T10:23:53.000,in-house,N,Y,11,Excelsior,94112,"{'type': 'Point', 'coordinates': [-122.4348346, 37.715052685]}",eas_address_point,1691582202278,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,,,,,,,,,,,
202403288795,8,otc alterations permit,2024-03-28T00:00:00.000,0519,047,1809,Greenwich,St,reroofing,complete,2024-04-30T14:48:21.000,2,2,21540.0,1 family dwelling,1.0,1 family dwelling,1.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-28T10:35:40.000,in-house,N,Y,2,Marina,94123,"{'type': 'Point', 'coordinates': [-122.429800049, 37.799490547]}",eas_address_point,1691533288151,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-28T09:48:18.000,2024-03-28T10:40:29.000,2024-04-30T14:48:21.000,21540.0,,,,,,,
202403288803,8,otc alterations permit,2024-03-28T00:00:00.000,3559,014,2295,Market,St,(n) tiles on wall behind bar. 8 new pendant light fixtures. remove mirror from east wall outside restroom. replace tile floor & wainscotting in bahtroom. replace in-kind (e) sink & toilet.,complete,2024-06-21T15:14:43.000,1,1,10000.0,food/beverage hndlng,0.0,food/beverage hndlng,0.0,0,B,B,3,constr type 3,3,constr type 3,2024-04-02T10:57:57.000,in-house,N,Y,8,Castro/Upper Market,94114,"{'type': 'Point', 'coordinates': [-122.432361706, 37.764453831]}",eas_address_point,1691542382070,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-28T10:17:15.000,2024-04-02T11:04:14.000,2024-06-21T15:14:43.000,10000.0,,,,,,,
202403288781,8,otc alterations permit,2024-03-28T00:00:00.000,0081,001,1,Lombard,St,"scope of work on 2nd fl shall consist of interior demo of non structural elements including but not nec limited to interior partitions, doors, finishes,ceilings, lighting, mech, elec outlets,switches. drawings 202206065640",complete,2024-08-20T10:01:57.000,3,3,149140.0,office,0.0,office,0.0,2,B,B,5,wood frame (5),5,wood frame (5),2024-05-08T10:59:38.000,in-house,N,Y,3,Financial District/South Beach,94111,"{'type': 'Point', 'coordinates': [-122.402468092, 37.803846629]}",eas_address_point,169151858182,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-28T08:29:53.000,2024-05-08T11:06:06.000,2024-08-20T10:01:57.000,149140.0,,,,,,,
202403288780,8,otc alterations permit,2024-03-28T08:29:32.000,0199,022,155,Jackson,St,unit #2008: rehabilitate (e) kitchen and bathroom no removal of structural walls,complete,2024-05-24T10:38:18.000,23,23,50000.0,apartments,178.0,apartments,178.0,2,"R-2,M","R-2,M",1,constr type 1,1,constr type 1,2024-03-28T10:14:57.000,in-house,N,Y,3,Financial District/South Beach,94111,"{'type': 'Point', 'coordinates': [-122.398825815, 37.796562523]}",eas_address_point,16915191091,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-28T08:29:32.000,2024-03-28T10:44:28.000,2024-05-24T10:38:18.000,80000.0,,,,,,,
202403288797,8,otc alterations permit,2024-03-28T09:50:10.000,1126,019,1180,Broderick,St,reroofing,complete,2024-10-01T08:33:40.000,3,3,21600.0,apartments,6.0,apartments,6.0,0,R-2,R-2,5,wood frame (5),5,wood frame (5),2024-03-28T10:34:58.000,in-house,N,Y,5,Western Addition,94115,"{'type': 'Point', 'coordinates': [-122.44058662, 37.781045154]}",eas_address_point,1691536239454,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-28T09:50:10.000,2024-03-28T10:39:40.000,2024-10-01T08:33:40.000,21000.0,,,,,,,
202403288808,8,otc alterations permit,2024-03-28T10:37:42.000,6795C,018,627,Cayuga,Av,re-roofing: remove and replace roofing material / existing roofing material (in-kind),complete,2024-04-22T08:36:52.000,,,16200.0,2 family dwelling,,2 family dwelling,,0,R-3,R-3,,,,,2024-03-28T10:37:42.000,website,N,Y,11,Outer Mission,94112,"{'type': 'Point', 'coordinates': [-122.435927645, 37.728074371]}",eas_address_point,1691547213309,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-28T10:37:42.000,2024-03-28T10:38:17.000,2024-04-22T08:36:52.000,16200.0,,,,,,,
202403288810,8,otc alterations permit,2024-03-28T10:40:15.000,6199,005,1332,Goettingen,St,re-roofing: remove and replace roofing material / existing roofing material (in-kind),issued,2024-03-28T10:41:03.000,,,11200.0,2 family dwelling,,2 family dwelling,,0,R-3,R-3,,,,,2024-03-28T10:40:15.000,website,N,Y,10,Visitacion Valley,94134,"{'type': 'Point', 'coordinates': [-122.402124929, 37.715442461]}",eas_address_point,1691549198095,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-28T10:40:15.000,2024-03-28T10:41:03.000,,11200.0,,,,,,,
202403288820,4,sign - erect,2024-03-28T11:09:54.000,1091,025,2845,Geary,Bl,"440sf single sided non illuminated alluminum bolted sign on the right side of the building for ""mission organic"" for sign 1 of 3. share plans w/ 202403288818",filed,2024-03-28T11:09:54.000,2,,450.0,retail sales,1.0,,,2,"M,R-3",,5,wood frame (5),,,2024-03-28T11:49:52.000,in-house,N,Y,2,Lone Mountain/USF,94118,"{'type': 'Point', 'coordinates': [-122.449529018, 37.782004525]}",eas_address_point,1691559516558,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-28T11:09:54.000,,,,,,,,,,
202403288821,4,sign - erect,2024-03-28T11:12:49.000,1091,025,2845,Geary,Bl,"90sf single sided non illuminated alluminum bolted sign on the right side of the building for ""mission organic"" for sign 2 of 3. share plans w/ 202403288818",filed,2024-03-28T11:12:49.000,2,,450.0,retail sales,1.0,,,2,"M,R-3",,5,wood frame (5),,,2024-03-28T11:49:21.000,in-house,N,Y,2,Lone Mountain/USF,94118,"{'type': 'Point', 'coordinates': [-122.449529018, 37.782004525]}",eas_address_point,1691561516558,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-28T11:12:49.000,,,,,,,,,,
202403288823,4,sign - erect,2024-03-28T11:15:36.000,1091,025,2845,Geary,Bl,"160sf single sided non illuminated alluminum bolted sign on the right side of the building for ""mission organic"" for sign 3 of 3. share plans w/ 202403288818",filed,2024-03-28T11:15:36.000,2,,450.0,retail sales,1.0,,,2,"M,R-3",,5,wood frame (5),,,2024-03-28T11:47:48.000,in-house,N,Y,2,Lone Mountain/USF,94118,"{'type': 'Point', 'coordinates': [-122.449529018, 37.782004525]}",eas_address_point,1691562516558,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-28T11:15:36.000,,,,,,,,,,
202402236423,3,additions alterations or repairs,2024-03-28T11:51:07.000,7061,054,105,Lakeview,Av,"front building: rehab (e) kitchen, bathroom & bedrooms, install utility closet below front stairs. rehab front & rear stairs. replace entry doors on g/f to 107 to single entry door.",filed,2024-03-28T11:51:07.000,2,2,80000.0,1 family dwelling,1.0,1 family dwelling,1.0,2,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-05-28T00:00:00.000,in-house,N,Y,11,Oceanview/Merced/Ingleside,94112,"{'type': 'Point', 'coordinates': [-122.45151363, 37.716493065]}",eas_address_point,1688940219776,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-28T11:51:07.000,,,,,,,,,,
202401224348,3,additions alterations or repairs,2024-03-28T12:34:11.000,3544,062,227,Church,St,"altered site permit. revision to pa#201909232411. reduction in scope of work. no second story addition. no new basement: ground floor, tenant improvement only and associated storefront/facade alteration. entrance alvoe modified for ada",issued,2024-04-02T10:13:14.000,1,1,1.0,retail sales,0.0,health studios & gym,0.0,2,M,B,5,wood frame (5),5,wood frame (5),2024-10-01T14:40:40.000,in-house,N,Y,8,Castro/Upper Market,94114,"{'type': 'Point', 'coordinates': [-122.428547866, 37.767053961]}",eas_address_point,1686711157659,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-28T12:34:10.000,2024-04-02T10:13:14.000,,1.0,,,,,Y,,2024-10-01T14:50:59.000
202403288842,8,otc alterations permit,2024-03-28T13:23:54.000,1262,038,121,Beulah,St,re-roofing: remove and replace roofing material / existing roofing material (in-kind),complete,2024-05-13T08:18:31.000,,,10000.0,1 family dwelling,,1 family dwelling,,0,R-3,R-3,,,,,2024-03-28T13:23:55.000,website,N,Y,8,Haight Ashbury,94117,"{'type': 'Point', 'coordinates': [-122.452038995, 37.767161443]}",eas_address_point,169158094316,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-28T13:23:54.000,2024-03-28T13:34:21.000,2024-05-13T08:18:31.000,10000.0,,,,,,,
202403288869,8,otc alterations permit,2024-03-28T15:13:47.000,6350,001M,806,Madrid,St,re-roofing: remove and replace roofing material / existing roofing material (in-kind),complete,2024-04-03T11:17:56.000,,,20000.0,2 family dwelling,,2 family dwelling,,0,R-3,R-3,,,,,2024-03-28T15:13:47.000,website,N,Y,11,Excelsior,94112,"{'type': 'Point', 'coordinates': [-122.436704301, 37.716916376]}",eas_address_point,1691612201687,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-28T15:13:47.000,2024-03-28T15:15:30.000,2024-04-03T11:17:56.000,20000.0,,,,,,,
202403228391,3,additions alterations or repairs,2024-03-28T15:34:46.000,2630,036,28,Woodland,Av,"legalize(e)non-permitted lower level living area as addition to 2nd fl unit 28a woodland ave.verify/upgrade as needed(e)wall & ceiling fire rating,wall & floor insulation.replace(e)electric heating with(n)mini-split heat pump,replace(e)windows w/ larger windows for compliant lighting/ventilation & b",filed,2024-03-28T15:34:46.000,2,2,25000.0,2 family dwelling,2.0,2 family dwelling,2.0,2,R-3,R-3,5,wood frame (5),5,wood frame (5),2025-03-05T13:25:26.000,in-house,N,Y,8,Inner Sunset,94117,"{'type': 'Point', 'coordinates': [-122.453106003, 37.763754197]}",eas_address_point,1691086140298,2025-03-06T23:55:00.000,2025-03-07T03:33:23.514,2024-03-28T15:34:46.000,,,161364.0,,,,,,,
202403157933,3,additions alterations or repairs,2024-03-28T17:28:23.000,6599,036,1596,Guerrero,St,provide (1) adu's within existing envelope at 1/f parking & storage per state law government code 65852.2.,withdrawn,2024-11-05T00:00:00.000,3,3,100000.0,apartments,4.0,apartments,5.0,2,R-2,R-2,5,wood frame (5),5,wood frame (5),2024-04-24T00:00:00.000,in-house,N,Y,8,Noe Valley,94110,"{'type': 'Point', 'coordinates': [-122.422550997, 37.745760873]}",eas_address_point,1690565406094,2025-02-07T23:55:01.000,2025-02-08T03:30:01.304,2024-03-28T17:28:23.000,,,,0,,,,,,
202403298886,3,additions alterations or repairs,2024-03-29T00:00:00.000,3611,005,2420,Folsom,St,"interior renovation to add 3 new adu units per state program to replace garage at ground floor. new bicycle parking, new gas and electrical room, new street tree, no change to existing use and height.",triage,2024-03-29T08:55:33.000,4,4,295000.0,apartments,7.0,apartments,10.0,2,R-2,R-2,5,wood frame (5),5,wood frame (5),2024-08-20T08:01:53.000,in-house,N,Y,9,Mission,94110,"{'type': 'Point', 'coordinates': [-122.415005668, 37.758485831]}",eas_address_point,1691629248388,2025-02-07T23:55:01.000,2025-02-08T03:30:01.304,,,,,,,,,,,
202403298902,8,otc alterations permit,2024-03-29T00:00:00.000,7381,001,100,Lake Merced Hill St South,St,replace (1) rear patio door non-street visible. (e) alum (n) vinyl clad wood. no size change. < .30 max,complete,2024-06-20T10:27:34.000,2,2,12736.0,1 family dwelling,1.0,1 family dwelling,1.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-29T11:07:07.000,in-house,N,Y,7,Lakeshore,94132,"{'type': 'Point', 'coordinates': [-122.484282873, 37.710644293]}",parcel_centroid,1691645492162,2025-02-18T23:55:01.000,2025-02-19T03:33:26.776,2024-03-29T10:30:56.000,2024-03-29T11:18:07.000,2024-06-20T10:27:34.000,12736.0,,,,,,,
202403298908,8,otc alterations permit,2024-03-29T00:00:00.000,0451,204,1050,North Point,St,"kitchen remodel: new sink, new appliances guest bathroom remodel new tub, new toilet, new vanity. master bathroom remodel new shower pan, new toilet, new vanity",complete,2025-02-20T14:11:48.000,17,17,70000.0,apartments,258.0,apartments,258.0,0,R-2,R-2,1,constr type 1,1,constr type 1,2024-03-29T11:22:42.000,in-house,N,Y,2,Russian Hill,94109,"{'type': 'Point', 'coordinates': [-122.424844415, 37.805368159]}",eas_address_point,1691651435018,2025-02-21T23:55:01.000,2025-02-22T03:36:04.636,2024-03-29T10:58:36.000,2024-03-29T11:32:22.000,2025-02-20T14:11:48.000,75000.0,1001,,,,,,
202403298893,8,otc alterations permit,2024-03-29T00:00:00.000,0646,018,1635,California,St,to verify extg sound levels in sleeping areas complying with sffc section 1103.7.6.1 indicating the dba reading in each living area and sleeping of at least 75 dba,complete,2025-02-25T16:18:10.000,7,7,1.0,apartments,36.0,apartments,36.0,2,"R-2,B","R-2,B",5,wood frame (5),5,wood frame (5),2024-03-29T10:56:10.000,in-house,N,Y,3,Nob Hill,94109,"{'type': 'Point', 'coordinates': [-122.421356399, 37.790273434]}",eas_address_point,1691636453109,2025-02-26T23:55:00.000,2025-02-27T03:33:52.476,2024-03-29T09:14:29.000,2024-03-29T10:57:46.000,2025-02-25T16:18:10.000,1.0,21,Y,,,,,
202403298957,8,otc alterations permit,2024-03-29T00:00:00.000,1490,008,494,46th,Av,"1/f: add 2 bedrooms, 2 full baths, family room and laundry. 2/f: remodel kitchen and bath, add 1 full bath and interior stairs.",issued,2024-04-11T14:27:39.000,2,2,300000.0,1 family dwelling,1.0,1 family dwelling,1.0,2,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-04-11T14:13:57.000,in-house,N,Y,1,Outer Richmond,94121,"{'type': 'Point', 'coordinates': [-122.506977418, 37.779294049]}",eas_address_point,1691704101506,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-29T14:10:25.000,2024-04-11T14:27:39.000,,300000.0,,,,,,,
202403298921,8,otc alterations permit,2024-03-29T00:00:00.000,8721,011,550,Terry A Francois,Bl,1/fl-interior soft demo per ab:017 level 1 removal of architectural and mep as noted on drawings. all demolished mep will be safed back to risers. no occupancy until ti is completed per ab017.,complete,2024-12-11T09:56:29.000,6,6,20000.0,office,0.0,office,0.0,2,"B,A-3","B,A-3",1,constr type 1,1,constr type 1,2024-04-29T14:21:50.000,in-house,N,Y,6,Mission Bay,94158,"{'type': 'Point', 'coordinates': [-122.386544113, 37.769493846]}",eas_address_point,1691666509951,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-29T12:08:16.000,2024-04-29T14:23:59.000,2024-12-11T09:56:29.000,20000.0,,,,,,,
202403298939,8,otc alterations permit,2024-03-29T00:00:00.000,6463,052,27,Hollywood,Ct,replace (1) front window street visible. (e) wood (n) alum clad wood - picture window. no size change. < .30 max,complete,2024-06-20T09:37:17.000,2,2,4497.0,1 family dwelling,1.0,1 family dwelling,1.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-29T14:42:14.000,in-house,N,Y,11,Excelsior,94112,"{'type': 'Point', 'coordinates': [-122.441030279, 37.71463844]}",eas_address_point,1691685203772,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-29T13:10:36.000,2024-03-29T14:48:23.000,2024-06-20T09:37:17.000,4497.0,,,,,,,
202403298919,8,otc alterations permit,2024-03-29T00:00:00.000,0775,023,1415,Golden Gate,Av,"interior remodel of level 2 & 3 dwelling units (1415 & 1417). note that scope of work is identical in each unit. scope includes: kitchen remodel, addition of 2 full bathrooms, removal of 1 half bath & misc. vanity sinks, reconfiguration of interior wall, replace & add plmg & light fixtures,",issued,2024-06-27T11:06:18.000,3,3,75000.0,apartments,3.0,apartments,3.0,2,R-2,R-2,5,wood frame (5),5,wood frame (5),2024-06-27T10:42:57.000,in-house,N,Y,5,Western Addition,94115,"{'type': 'Point', 'coordinates': [-122.433998191, 37.779068619]}",eas_address_point,169166381574,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-29T11:58:02.000,2024-06-27T11:06:18.000,,340000.0,,,,,,,
202403298962,8,otc alterations permit,2024-03-29T00:00:00.000,1307,001Y,600,El Camino Del Mar,,"window replacement - 9 total: x7 in-kind windows, x2 glass block windows @ lower level to be replaced w/steel frame and sash to match existing. interior remodel under separate permit 202402216297",issued,2024-04-04T14:09:27.000,3,3,1.0,1 family dwelling,1.0,1 family dwelling,1.0,2,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-04-04T14:08:59.000,in-house,N,Y,1,Seacliff,94121,"{'type': 'Point', 'coordinates': [-122.490055511, 37.787052845]}",eas_address_point,169171095845,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-29T14:32:44.000,2024-04-04T14:09:27.000,,3500.0,,,,,,,
202403298933,8,otc alterations permit,2024-03-29T00:00:00.000,3573,043,3118,18th,St,"unit 7; bathroom remodel in-kind. bath tub, sink, exhaust fan & ceramic tile replacement. accessiblity to be maintained",complete,2024-04-18T12:36:38.000,4,4,5000.0,apartments,9.0,apartments,9.0,0,"R-2,B","R-2,B",5,wood frame (5),5,wood frame (5),2024-03-29T15:14:45.000,in-house,N,Y,9,Mission,94110,"{'type': 'Point', 'coordinates': [-122.413393461, 37.762377217]}",eas_address_point,1691680515961,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-29T13:00:32.000,2024-03-29T14:19:11.000,2024-04-18T12:36:38.000,20552.0,7,,,,,,
